year,rank,title,film,singers
1986,35,O Miss De De Kiss,Love 86,Shailendra Singh; Suresh Wadkar
1987,1,Kuch Bhi Nahin Rehta Is Duniya Mein,Khudgarz,Udit Narayan
1987,2,Tujhe Itna Pyar Karein,Kudrat Ka Kanoon,Lata Mangeshkar; Shabbir Kumar
1987,3,Chal Bhaag Chalein Purab Ki Or,Kalyug Ki Ramayan,Lata Mangeshkar
1987,4,Mahi Ve Na Jaiyo Pardes,Karma,Kavita Krishnamurthy
1987,5,O Yaara Tu Pyaron Se Hai Pyara,Kaash,Kishore Kumar; Anupama Deshpande
1987,6,Dance Dance,Dance Dance,Vijay Benedict; Alisha Chinai
1987,7,Mai Se Meena Se Na Saaqi Se,Khudgarz,Mohammed Aziz; Sadhana Sargam
1987,8,Zindagi Ka Naam Dosti,Khudgarz,Nitin Mukesh
1987,9,Dil Behalta Hai Mera,Khudgarz,Sadhana Sargam; Mohammed Aziz
1987,10,Dil Pukare Jeeva Re Jeeva,Jeeva,Asha Bhosle
1987,11,Karte Hain Hum Pyar Mr. India Se,Mr. India,Kishore Kumar; Kavita Krishnamurthy
1987,12,Dulhe Raja Dekh Dulhaniya Doli Layi Hai,Pyar Ki Jeet,Asha Bhosle
1987,13,De De Didi Football Wapas Hamari,Mr. India,Kavita Krishnamurthy
1987,14,Hawa Hawai,Mr. India,Kavita Krishnamurthy
1987,15,Dekho Dekho Mera Jalwa,Jalwa,Remo Fernandes
1987,16,Aur Is Dil Mein Kya Rakha Hai,Imaandaar,Asha Bhosle; Suresh Wadkar
1987,17,Naam Sare Mujhe Bhool Jaane Lage,Sindoor,Lata Mangeshkar; Mohammed Aziz
1987,18,Log Kehte Hain Ki Peela Chand Hai,Khudgarz,Sadhana Sargam; Mohammed Aziz
1987,19,Patthar Ke Khuda Patthar Ke Sanam,Passions,Jagjit Singh
1987,20,Ye Raat Ye Barsaat Ye Tanhai Ka Aalam,Awaam,Asha Bhosle; Mahendra Kapoor
1987,21,Ameer Se Hoga Ya Ghareeb Se Hoga,Insaniyat Ke Dushman,Suresh Wadkar
1987,22,Hamsafar Gham Jo Mohabbat Mein,Shohrat,Anup Jalota
1987,23,Ram Ram Bol Prabhu Inki Aankhein Khol,Hukumat,Alka Yagnik; Kavita Krishnamurthy; Shabbir Kumar
1987,24,Main Aaj Bahut Khush Hoon,Sansar,Asha Bhosle
1987,25,Teri Jawani Ke Charche,Hawalaat,Asha Bhosle; Mohammed Aziz
1987,26,Na Tum Ne Kiya Na Main Ne Kiya,Nache Mayuri,Lata Mangeshkar
1987,27,Jab Pyar Kiya Iqraar Kiya,Watan Ke Rakhwale,Anuradha Paudwal; Mohammed Aziz
1987,28,Terha Merha Main Seedhe Logon Mein,Jalwa,Remo Fernandes
1988,1,Papa Kehte Hain Bada Naam Karega,Qayamat Se Qayamat Tak,Udit Narayan
1988,2,Saajan Mera Us Paar Hai,Ganga Jamuna Saraswati,Lata Mangeshkar
1988,3,Kya Karte The Sajna,Lal Dupatta Malmal Ka,Udit Narayan; Anuradha Paudwal
1988,4,Naam Sare Mujhe Bhool Jaane Lage,Sindoor,Lata Mangeshkar; Mohammed Aziz
1988,5,Julie Julie,Jeete Hain Shaan Se,Anu Malik
1988,6,Main Tera Tota Tu Meri Maina,Paap Ki Duniya,Kishore Kumar; S. Janaki
1988,7,Angoori Mein Angoothi Angoothi Mein Nageena,Ram Avtar,Lata Mangeshkar; Mohammed Aziz
1988,8,Jaane Do Jaane Do Mujhe Jaana Hai,Shahenshah,Lata Mangeshkar; Mohammed Aziz
1988,9,Andheri Raaton Mein Sunsaan Raahon Pe,Shahenshah,Kishore Kumar
1988,10,Ae Mere Humsafar Ek Zara Intezaar,Qayamat Se Qayamat Tak,Udit Narayan; Alka Yagnik
1988,11,Ek Do Teen,Tezaab,Alka Yagnik
1988,12,Ye Raat Ye Barsaat Ye Tanhai Ka Aalam,Awaam,Asha Bhosle; Mahendra Kapoor
1988,13,Gazab Ka Hai Din,Qayamat Se Qayamat Tak,Alka Yagnik
1988,14,Aaj Phir Tumpe Pyar Aaya Hai,Dayavan,Anuradha Paudwal; Pankaj Udhas
1988,15,Saajan Aa Jao,Aag Hi Aag,Asha Bhosle; Shabbir Kumar
1988,16,Jab Pyar Kiya Iqraar Kiya,Watan Ke Rakhwale,Anuradha Paudwal; Mohammed Aziz
1988,17,Keh Do Ki Tum Ho Meri Warna,Tezaab,Anuradha Paudwal; Amit Kumar
1988,18,Sooni Sooni Ankhiyon Mein,Lal Dupatta Malmal Ka,Anuradha Paudwal; Suresh Wadkar
1988,19,Bandhan Toote Na Saari Zindagi,Paap Ki Duniya,Lata Mangeshkar; Shabbir Kumar
1988,20,Main Pyar Ka Pujari,Hatya,Asha Bhosle; Bappi Lahiri
1988,21,Barse Re Sawan,Dariya Dil,Sadhana Sargam; Mohammed Aziz
1988,22,Qasam Kya Hoti Hai,Kasam,Asha Bhosle; Nitin Mukesh
1988,23,Patjhad Sawan Basant Bahar,Sindoor,Lata Mangeshkar; Suresh Wadkar; Mohammed Aziz
1988,24,Mere Pyar Ki Umar Ho Itni Sanam,Waaris,Lata Mangeshkar
1988,25,Aaj Maati Sunaye Kahani,Waaris,Mahendra Kapoor
1988,26,Ek Ek Ho Jayen Phir Ghar Chale Jaana,Ganga Jamuna Saraswati,Kishore Kumar; Pankaj Udhas
1988,27,Akele Hain To Kya Gham Hai,Qayamat Se Qayamat Tak,Udit Narayan; Alka Yagnik
1988,28,Hum Na Rahein Tum Na Raho,Aag Hi Aag,Asha Bhosle; Shabbir Kumar
1988,29,Main Ne Tere Liye,Main Tere Liye,Bappi Lahiri
1988,30,Maine Bhi Ek Geet Likha Hai,Hamara Khandaan,Shabbir Kumar
1988,31,Zindagi Pyar Hai Pyar Bina Yaar,Paap Ki Duniya,Asha Bhosle; Shailendra Singh; Shabbir Kumar
1988,32,Hanste Hanste Kat Jayen Raste,Khoon Bhari Maang,Nitin Mukesh; Sadhana Sargam
1988,33,Phool Gulab Ka,Biwi Ho To Aisi,Anuradha Paudwal; Mohammed Aziz
1988,34,Mera Kuch Samaan Tumhare Paas Pada Hai,Ijaazat,Asha Bhosle
1988,35,Log Jahan Par Rehte Hain,Pyar Ka Mandir,Kavita Krishnamurthy; Suresh Wadkar; Mohammed Aziz
1989,1,My Name Is Lakhan,Ram Lakhan,Mohammed Aziz
1989,2,Kabootar Ja Ja Ja,Maine Pyar Kiya,Lata Mangeshkar; S.P. Balasubrahmanyam
1989,3,Mere Haathon Mein Nau Nau Chooriyan,Chandni,Lata Mangeshkar
1989,4,Hum Tumhein Itna Pyar Karenge,Bees Saal Baad,Anuradha Paudwal; Mohammed Aziz
1989,5,Oye Oye Tirchhi Topi Wale,Tridev,Amit Kumar; Sapna Mukherjee
1989,6,Aaja Shaam Hone Aayi,Maine Pyar Kiya,Lata Mangeshkar; S.P. Balasubrahmanyam
1989,7,Keh Do Ki Tum Ho Meri Warna,Tezaab,Amit Kumar
1989,8,Dil Deewana Bin Sajna Ke,Maine Pyar Kiya,Lata Mangeshkar; S.P. Balasubrahmanyam
1989,9,Tere Lakhan Ne Bada Dukh Deena,Ram Lakhan,Lata Mangeshkar
1989,10,So Gaya Ye Jahan,Tezaab,Alka Yagnik; Nitin Mukesh; Shabbir Kumar
1989,11,Tutak Tutak Tutiya,Ghar Ka Chirag,Asha Bhosle; Amit Kumar
1989,12,Hawa Hawa Ae Hawa,Hawa Hawa,Hasan Jahangir
1989,13,Lagi Aaj Sawan Ki Phir Wo Jhadi Hai,Chandni,Suresh Wadkar; Anupama Deshpande
1989,14,Mujhe Tumse Hain Kitne Gile,Ram Lakhan,Anuradha Paudwal; Manhar Udhas
1989,15,Rang Bhare Baadal Se,Chandni,Jolly Mukherjee
1989,16,Jeena Hai Pyar Mein Jeena,Love Love Love,Vijay Benedict
1989,17,Dil Deewana Bin Sajna Ke Maane Na,Maine Pyar Kiya,Lata Mangeshkar; S.P. Balasubrahmanyam
1989,18,Bahar Hai Problem Ghar Mein Hai Problem,Toofan,Amitabh Bachchan
1989,19,Dil Tera Kisne Toda,Dayavan,Mohammed Aziz
1989,20,Na Jaane Kahan Se Aayi Hai,Chaalbaaz,Kavita Krishnamurthy; Amit Kumar
1989,21,Chahe Meri Jaan Tu Le Le,Dayavan,Jolly Mukherjee
1989,22,Padosan Apni Murghi Ko,Jaadugar,Amitabh Bachchan
1989,23,Babul Ka Ye Ghar Behna,Daata,Kishore Kumar; Alka Yagnik
1989,24,Tera Beemar Mera Dil,Chaalbaaz,Kavita Krishnamurthy; Mohammed Aziz
1990,1,Gori Hai Kalaiyan Tu Laade Mujhe Hari Hari Chooriyan,Aaj Ka Arjun,Lata Mangeshkar; Shabbir Kumar
1990,2,Mohabbat Inayat Karam Dekhte Hain,Bahaar Aane Tak,Anuradha Paudwal; Pankaj Udhas
1990,3,Mujhe Neend Na Aaye,Dil,Udit Narayan; Anuradha Paudwal
1990,4,Aapko Dekh Ke Dekh Ke,Kishen Kanhaiya,Amit Kumar; Sadhana Sargam
1990,5,O Priya Priya Kyun Bhula Diya,Dil,Anuradha Paudwal; Suresh Wadkar
1990,6,Jab Se Dekha Tumko Yara,Tum Mere Ho,Udit Narayan; Anupama Deshpande
1990,7,Nazar Ke Samne Jigar Ke Paas,Aashiqui,Kumar Sanu; Anuradha Paudwal
1990,8,Kali Teri Choti Hai,Bahaar Aane Tak,Anuradha Paudwal; Mangal Singh
1990,9,Jaane Jigar Jaane Mann,Aashiqui,Kumar Sanu; Anuradha Paudwal
1990,10,Tama Tama Loge,Thanedaar,Anuradha Paudwal; Bappi Lahiri
1990,11,Maine Duniya Bhula Doongi Teri Chaahat Mein,Aashiqui,Kumar Sanu; Anuradha Paudwal
1990,12,Saanson Ki Zaroorat Hai Jaise,Aashiqui,Kumar Sanu; Anuradha Paudwal
1990,13,Ye Jo Halka Halka Suroor Hai,Souten Ki Beti,Kishore Kumar; Anuradha Paudwal
1990,14,Jab Uska Chehra Mehkega,Yaadon Ke Mausam,Anuradha Paudwal; Amit Kumar
1990,15,Kehna Na Tum Ye Kisi Se,Pati Patni Aur Tawaif,Salma Agha; Mohammed Aziz
1990,16,Maine Tujhe Khat Likha,Mera Pati Sirf Mera Hai,Lata Mangeshkar; S.P. Balasubrahmanyam
1990,17,Soot Boot Mein Aaya Kanhaiya,Kishen Kanhaiya,Amit Kumar
1990,18,Krishna Krishna Aaye Krishna,Kishen Kanhaiya,Lata Mangeshkar; Nitin Mukesh
1991,1,Dekha Hai Pehli Baar Saajan Ki Aankhon Mein Pyar,Saajan,Alka Yagnik; S.P. Balasubrahmanyam
1991,2,Maine Pyar Tumhi Se Kiya Hai,Phool Aur Kaante,Kumar Sanu; Anuradha Paudwal
1991,3,Tere Hum Hain Sanam Pyar Mein,Jeena Teri Gali Mein,Kumar Sanu; Anuradha Paudwal
1991,4,Kabhi Tu Chhaliya Lagta Hai,Patthar Ke Phool,Lata Mangeshkar; S.P. Balasubrahmanyam
1991,5,Tumhein Apna Banane Ki Qasam Khayi Hai,Sadak,Kumar Sanu; Anuradha Paudwal
1991,6,Dil Hai Ki Manta Nahin,Dil Hai Ke Manta Nahin,Kumar Sanu; Anuradha Paudwal
1991,7,Saudagar Sauda Kar,Saudagar,Kavita Krishnamurthy; Manhar Udhas; Sukhwinder Singh
1991,8,Jumma Chumma De De,Hum,Kavita Krishnamurthy; Sudesh Bhonsle
1991,9,Choodi Maza Na Degi Kangan Maza Na Dega,Sanam Bewafa,Lata Mangeshkar
1991,10,Main Hoon Khushrang Henna,Henna,Lata Mangeshkar
1991,11,Kitne Dino Ke Baad Hai Aayi Sajna Raat,Aayi Milan Ki Raat,Anuradha Paudwal; Mohammed Aziz
1991,12,Jeena Teri Gali Mein,Jeena Teri Gali Mein,Anuradha Paudwal; S.P. Balasubrahmanyam
1991,13,Tune Preet Jo Mujhse Jodi,Meera Ka Mohan,Anuradha Paudwal; Suresh Wadkar
1991,14,Ilu Ilu,Saudagar,Kavita Krishnamurthy; Manhar Udhas; Sukhwinder Singh
1991,15,Tumse Jo Dekhte Hi Pyar Hua,Patthar Ke Phool,Lata Mangeshkar; S.P. Balasubrahmanyam
1991,16,Tumse Milne Ko Dil Karta Hai,Phool Aur Kaante,Kumar Sanu; Anuradha Paudwal
1991,17,Jao Tum Chahe Jahan,Narsimha,Alka Yagnik; Amit Kumar
1991,18,Hum Tere Bin Kahin Reh Nahin Paate,Sadak,Anuradha Paudwal; Manhar Udhas
1991,19,Yara Sili Sili Birha Ki Raat Ka Jalana,Lekin,Lata Mangeshkar
1991,20,Tere Hum Ae Sanam Pyar Mein,Jeena Teri Gali Mein,Kumar Sanu; Anuradha Paudwal
1991,21,Sun Mahiya Shukriya Meherbani,100 Days,Lata Mangeshkar; S.P. Balasubrahmanyam
1991,22,Jaate Ho Pardes Piya,Jeena Teri Gali Mein,Anuradha Paudwal; Nitin Mukesh
1991,23,Bahut Pyar Karte Hain Tumko Sanam,Saajan,Anuradha Paudwal; S.P. Balasubrahmanyam
1991,24,Kaagaz Qalam Dawaat La,Hum,Mohammed Aziz; Shobha Joshi
1991,25,Dheere Dheere Pyar Ko Badhana Hai,Phool Aur Kaante,Alka Yagnik; Kumar Sanu
1991,26,Ye Dharti Chand Sitare,Kurbaan,Udit Narayan; Anuradha Paudwal
1991,27,Kaisa Lagta Hai Achha Lagta Hai,Baaghi,Anuradha Paudwal; Amit Kumar
1991,28,Tota Tota Sajan Se Kehna,First Love Letter,Lata Mangeshkar; S.P. Balasubrahmanyam
1991,29,Imli Ka Boota Beri Ka Ber,Saudagar,Mohammed Aziz; Sudesh Bhonsle
1991,30,Anardana Anardana,Henna,Lata Mangeshkar
1991,31,Jab Tak Rahe Dharti Gagan,Baharon Ki Manzil,Udit Narayan; Poornima
1991,32,Gori Kab Se Hui Jawan,Phool Bane Angaarey,Lata Mangeshkar
1991,33,Aaj Na Chhodenge Tujhe,Dil,Udit Narayan; Anuradha Paudwal
1991,34,Tu Shayar Hai Main Teri Shayari,Saajan,Alka Yagnik
1991,35,Deewani Deewani Deewana Tera Ho Gaya,First Love Letter,Lata Mangeshkar; S.P. Balasubrahmanyam
1991,36,Tu Pyar Hai Kisi Aur Ka,Dil Hai Ke Manta Nahin,Kumar Sanu; Anuradha Paudwal
1991,37,Saathiya Tune Kya Kiya,Love,S.P. Balasubrahmanyam; Chitra
1992,1,Maine Pyar Tumhi Se Kiya Hai,Phool Aur Kaante,Kumar Sanu; Anuradha Paudwal
1992,2,Tu Tu Tu Tu Tara,Bol Radha Bol,Udit Narayan; Poornima
1992,3,Koyal Si Teri Boli,Beta,Udit Narayan; Anuradha Paudwal
1992,4,Aisi Deewangi Dekhi Nahin Kabhi,Deewana,Alka Yagnik; Vinod Rathod
1992,5,Tu Mujhe Kabool Main Tujhe Kabool,Khuda Gawah,Kavita Krishnamurthy; Mohammed Aziz
1992,6,Teri Ummeed Tera Intezaar Karte Hain,Deewana,Kumar Sanu; Sadhana Sargam
1992,7,Saathiya Tune Kya Kiya,Love,S.P. Balasubrahmanyam; Chitra
1992,8,Wada Raha Sanam,Khiladi,Alka Yagnik; Abhijeet
1992,9,Aake Teri Baahon Mein,Vansh,Lata Mangeshkar; S.P. Balasubrahmanyam
1992,10,Mere Pyar Mein Sach Sach Kaho,Sapne Sajan Ke,Alka Yagnik
1992,11,Dil Jigar Nazar Kya Hai,Dil Ka Kya Kasoor,Kumar Sanu
1992,12,Bol Radha Bol Tune Ye Kya Kiya,Bol Radha Bol,Udit Narayan; Anuradha Paudwal
1992,13,Pee Pee Pee Piya,Prem Deewane,Alka Yagnik; Udit Narayan
1992,14,Kaun Ho Tum Jo Dil Mein Samaye Jaate Ho,Mashooq,Kavita Krishnamurthy; Abhijeet
1992,15,Kabhi Main Kahoon Kabhi Tum Kaho,Lamhe,Lata Mangeshkar; Hariharan
1992,16,Tota Mere Tota,Aaj Ka Gundaraj,Sadhana Sargam; Abhijeet
1992,17,Dhak Dhak Karne Laga,Beta,Udit Narayan; Anuradha Paudwal
1992,18,Deewani Deewani Deewana Tera Ho Gaya,First Love Letter,Lata Mangeshkar; S.P. Balasubrahmanyam
1992,19,Kal College Band Ho Jayega,Jaan Tere Naam,Udit Narayan; Sadhana Sargam
1992,20,Jab Na Mana Dil Deewana,Bekhudi,Asha Bhosle; Kumar Sanu
1992,21,Saat Samundar Paar,Vishwatma,Sadhana Sargam
1992,22,Tu Roop Ki Rani,Roop Ki Rani Choron Ka Raja,Kavita Krishnamurthy; Amit Kumar
1993,1,Choli Ke Peeche Kya Hai,Khalnayak,Alka Yagnik; Ila Arun
1993,2,Baazigar O Baazigar,Baazigar,Kumar Sanu; Alka Yagnik
1993,3,Aaj Humne Dil Ka Har Kissa Tamam Kar Diya,Sir,Kumar Sanu; Alka Yagnik
1993,4,Choom Loon Honth Tere,Shriman Aashiq,Kumar Sanu; Alka Yagnik
1993,5,Tere Dar Pe Sanam Chale Aaye,Phir Teri Kahani Yaad Aayi,Kumar Sanu
1993,6,Teri Mohabbat Ne Dil Mein Muqaam Kar Diya,Rang,Kumar Sanu; Alka Yagnik
1993,7,Is Jahan Ki Nahin Hain Tumhari Aankhein,King Uncle,Lata Mangeshkar; Nitin Mukesh
1993,8,O Lal Dupatte Wali Tera Naam To Bata,Aankhen,Kumar Sanu; Alka Yagnik; Kavita Krishnamurthy
1993,9,Lena Hai Lena Hai,Bomb Blast,Kavita Krishnamurthy; Bali Brahmbhatt
1993,10,Ghoonghat Ki Aad Se Dilbar Ka,Hum Hain Rahi Pyar Ke,Kumar Sanu; Alka Yagnik
1993,11,Goriya Re Goriya Re,Aaina,Lata Mangeshkar; Jolly Mukherjee
1993,12,Nayak Nahin Khalnayak Hoon Main,Khalnayak,Kavita Krishnamurthy; Vinod Rathod
1993,13,Payaliya Geet Sunaye,Deewana,Kumar Sanu; Alka Yagnik
1993,14,Kam Se Kam Itna Kaha Hota,Dil Tera Aashiq,Alka Yagnik
1993,15,Ye Kaali Kaali Aankhein,Baazigar,Kumar Sanu; Anu Malik
1993,16,Tujhe Na Dekhoon To Chain Mujhe Aata Nahin,Rang,Kumar Sanu; Alka Yagnik
1993,17,Chadh Gaya Upar Re,Dalaal,Bappi Lahiri; Ila Arun
1993,18,Main Tera Aashiq Hoon,Gumrah,Roop Kumar Rathod
1993,19,Dil Hoom Hoom Kare,Rudaali,Lata Mangeshkar
1993,20,Pagal Dil Mera,Aaja Meri Jaan,Anuradha Paudwal; S.P. Balasubrahmanyam
1994,1,Didi Tera Devar Deewana,Hum Aapke Hain Koun,Lata Mangeshkar; S.P. Balasubrahmanyam
1995,1,Tujhe Dekha Toh Ye Jaana Sanam,Dilwale Dulhania Le Jayenge,Lata Mangeshkar; Kumar Sanu
1996,1,Pardesi Pardesi Jana Nahin,Raja Hindustani,Alka Yagnik; Udit Narayan
1997,1,Sandese Aate Hain,Border,Sonu Nigam; Roop Kumar Rathod
1998,1,Chaiyya Chaiyya,Dil Se,Sukhwinder Singh; Sapna Awasthi
1999,1,Taal Se Taal Mila,Taal,Udit Narayan; Alka Yagnik
2000,1,Humko Humise Chura Lo,Mohabbatein,Lata Mangeshkar; Udit Narayan
