year,rank,title,film,singers
1980,5,Koyal Boli Duniya Doli,Sargam,Lata Mangeshkar; Mohammed Rafi
1980,6,Laila Main Laila,Qurbani,Kanchan; Amit Kumar
1980,7,Ae Yaar Sun Yaari Teri,Suhaag,Shailendra Singh; Mohammed Rafi; Asha Bhosle
1980,8,Pal Do Pal Ka Saath Hamara,The Burning Train,Asha Bhosle; Mohammed Rafi
1980,9,Teri Rab Ne Bana Di Jodi,Suhaag,Shailendra Singh; Mohammed Rafi; Asha Bhosle
1980,10,Humein Tumse Pyar Kitna,Kudrat,Kishore Kumar
1980,11,Tune O Rangeele Kaisa Jadu Kiya,Kudrat,Lata Mangeshkar
1980,12,Tu Kitne Baras Ki,Karz,Lata Mangeshkar; Kishore Kumar
1980,13,Main To Beghar Hoon,Suhaag,Asha Bhosle
1980,14,Sultana Sultana,Taraana,Usha Mangeshkar
1980,15,Chhukar Mere Man Ko Kiya Tune Kya Ishara,Yaarana,Kishore Kumar
1980,16,Aane Wala Pal Jane Wala Hai,Golmaal,Kishore Kumar
1980,17,Sapnon Ke Sheher Hum Banayenge Ghar,Ahsaas,Kishore Kumar
1980,18,Hum To Chale Pardes,Sargam,Mohammed Rafi
1980,19,Parbat Ke Is Paar Parbat Ke Us Paar,Sargam,Lata Mangeshkar; Mohammed Rafi
1980,20,Chand Jaise Mukhde Pe Bindiya Sitara,Sawan Ko Aane Do,Yesudas
1980,21,Sa Re Ga Ma Pa,Man Pasand,Kishore Kumar; Lata Mangeshkar
1980,22,Hazaar Raahein Mudke Dekhin,Thodi Si Bewafai,Lata Mangeshkar; Kishore Kumar
1980,23,Chori Chori Koi Aaye,Noorie,Lata Mangeshkar
1980,24,Logon Ka Dil,Man Pasand,Mohammed Rafi
1980,25,Tujh Pe Qurbaan Meri Jaan,Qurbani,Kishore Kumar; Anwar
1980,26,Kya Dekhte Ho Surat Tumhari,Qurbani,Mohammed Rafi; Asha Bhosle
1980,27,Maine Puchha Chand Se,Abdullah,Mohammed Rafi
1980,28,Bane Chahe Dushman Zamana Hamara,Dostana,Kishore Kumar; Mohammed Rafi
1980,29,Jab Chhaye Mera Jaadu,Lootmaar,Asha Bhosle
1980,30,Pallo Latke Re,Naukar,Asha Bhosle; Kishore Kumar
1980,31,Uthe Sab Ke Kadam,Baton Baton Mein,Lata Mangeshkar; Amit Kumar
1980,32,Kali Ghata Chhayi Prem Rut Aayi,Kali Ghata,Mohammed Rafi
1980,33,Hari Om Hari,Pyara Dushman,Usha Uthup
1981,1,Mere Angne Mein Tumhara Kya Kaam Hai,Laawaris,Amitabh Bachchan; Alka Yagnik
1981,2,Zindagi Ki Na Toote Ladi,Kranti,Nitin Mukesh; Lata Mangeshkar
1981,3,Chal Mere Bhai Tere Haath Jodta Hoon,Naseeb,Amitabh Bachchan; Mohammed Rafi
1981,4,Yaad Aa Rahi Hai Teri Yaad Aa Rahi Hai,Love Story,Amit Kumar; Lata Mangeshkar
1981,5,Tere Mere Beech Mein Kaisa Hai Ye Bandhan Anjana,Ek Duuje Ke Liye,S.P. Balasubrahmanyam; Lata Mangeshkar
